"Ad name",Country,"Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (EGP)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (EGP)","Link clicks",shop_clicks,"CPC (cost per link click) (EGP)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (EGP)","Landing page views","Cost per landing page view (EGP)","Messaging conversations started","Ad ID","Ad set name","Campaign ID","Campaign name","Ad set ID","Reporting starts","Reporting ends",Bid,"Bid type",Objective,"Cost per messaging conversation started (EGP)"
"تفاعل رسائل",EG,not_delivering,"7-day click or 1-day view",67,actions:onsite_conversion.messaging_conversation_started_7d,0,0,18.29477612,"Using campaign budget",0,1225.75,Ongoing,-,-,-,74348,16.486657,65,,18.857692,0.087427,2101,2.8259,0.583413,,,67,120200314809410517,"تجربة  22-10",120200314809360517,"TEST 22-10",120200314809390517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,18.294776
"Promoting website: https://facebook.com/MuttahedaCenter.MTC",EG,not_delivering,"7-day click or 1-day view",17,actions:onsite_conversion.messaging_conversation_started_7d,0,0,5.88235294,"Using campaign budget",0,100,2024-02-21,-,-,-,5451,18.345258,39,,2.564103,0.715465,203,3.724087,0.492611,,,17,120205712506100517,"[02/20/2024] Promoting https://facebook.com/MuttahedaCenter.MTC",120205712505960517,"[02/20/2024] Promoting https://facebook.com/MuttahedaCenter.MTC",120205712506070517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,5.882353
"Courses 17-7-2024",EG,not_delivering,"7-day click or 1-day view",4,actions:onsite_conversion.messaging_conversation_started_7d,0,0,28.03,"Using campaign budget",0,112.12,Ongoing,-,-,-,2921,38.384115,16,,7.0075,0.547758,81,2.773023,1.384198,,,4,120210514266280517,"New Course 17-7-2024",120210514266240517,"New Courses 17-7-2024",120210514266260517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,28.03
"Post: ‎""‎🎉 **خصم خاص على دبلومة الماكس المعماري لجميع...‎""‎",EG,not_delivering,"7-day click or 1-day view",7,actions:onsite_conversion.messaging_conversation_started_7d,0,0,29.58571429,"Using campaign budget",0,207.1,2024-12-20,-,-,-,4652,44.518487,17,,12.182353,0.365434,111,2.386071,1.865766,,,7,120214093363330517,"Post: ‎""‎🎉 **خصم خاص على دبلومة الماكس المعماري لجميع...‎""‎2",120214093363320517,"‎Post: ‎""‎🎉 **خصم خاص على دبلومة الماكس المعماري لجميع...‎""‎‎ - Copy",120214093363340517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,29.585714
"New Engagement Ad with recommended settings",EG,not_delivering,"7-day click or 1-day view",6,actions:onsite_conversion.messaging_conversation_started_7d,0,0,41.41,200,Daily,248.46,Ongoing,-,-,-,2874,86.450939,9,,27.606667,0.313152,49,1.704941,5.070612,,,6,120217586123570517,"Ramadan 2025",120217586123590517,"new ramadan 2 - 5/3/2025",120217586123580517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Engagement,41.41
"Post: ‎""‎خصم حقيقي لكل المهندسين والطلبه في مصر مركز...‎""‎",EG,not_delivering,"7-day click or 1-day view",20,actions:onsite_conversion.messaging_conversation_started_7d,0,0,19.7325,"Using campaign budget",0,394.65,2023-11-05,-,-,-,30290,13.029052,53,,7.446226,0.174975,770,2.542093,0.512532,,,20,120200637238400517,"Post: ‎""‎خصم حقيقي لكل المهندسين والطلبه في مصر مركز...‎""‎",120200637238180517,"Post: ‎""‎خصم حقيقي لكل المهندسين والطلبه في مصر مركز...‎""‎",120200637238270517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,19.7325
"Promoting website: https://facebook.com/MuttahedaCenter.MTC",EG,not_delivering,"7-day click or 1-day view",6,actions:onsite_conversion.messaging_conversation_started_7d,0,0,32.27333333,"Using campaign budget",0,193.64,2024-03-05,-,-,-,11634,16.644318,38,,5.095789,0.326629,261,2.243424,0.741916,,,6,120206337637660517,"[03/04/2024] Promoting https://facebook.com/MuttahedaCenter.MTC",120206337637010517,"[03/04/2024] Promoting https://facebook.com/MuttahedaCenter.MTC",120206337637580517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,32.273333
"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",EG,not_delivering,"7-day click or 1-day view",11,actions:onsite_conversion.messaging_conversation_started_7d,0,0,14.54545455,"Using campaign budget",0,160,2024-07-18,-,-,-,6799,23.532872,31,,5.16129,0.455949,201,2.956317,0.79602,,,11,120210525830550517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120210525830320517,"Post: ‎""‎هتتعلم كل برامج اوتوديسك ياباشمهندس دلوقتي...‎""‎",120210525830520517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,14.545455
"منشور Instagram: ‏**💥 خصم كبير للمجموعات! يلا جمع...",EG,not_delivering,"7-day click or 1-day view",9,actions:onsite_conversion.messaging_conversation_started_7d,0,0,31.40111111,"Using campaign budget",0,282.61,2025-01-13,-,-,-,4612,61.277103,12,,23.550833,0.260191,22,0.477016,12.845909,,,9,120214686263870517,"Instagram Post",120214686263640517,"منشور Instagram: ‏**💥 خصم كبير للمجموعات! يلا جمع...",120214686263700517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,31.401111
"Post: ‎""‎جمع صحابك يلا نبقى قريبين!‎""‎",EG,not_delivering,"7-day click or 1-day view",29,actions:onsite_conversion.messaging_conversation_started_7d,6080,1.452961,11.03344828,"Using campaign budget",0,319.97,2025-05-21,-,-,-,8834,36.220285,80,,3.999625,0.905592,388,4.392121,0.824665,,,29,120224738941850517,"Post: ‎""‎جمع صحابك يلا نبقى قريبين!‎""‎",120224738941530517,"Post: ‎""‎جمع صحابك يلا نبقى قريبين!‎""‎",120224738941680517,2023-04-08,2026-05-07,0,ABSOLUTE_OCPM,Messages,11.033448
